House_ID,House_Type,Area_sqft,Number_of_Rooms,Family_Members,Adults,Children,Senior_Citizens,Work_From_Home,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Hours,TV_Hours,Laptop_Hours,Lighting_Hours_Per_Room,Washing_Machine_Usage,Water_Motor_Hours,Microwave_Usage_Hours,Geyser_Usage_Hours,EV_Charging,Solar_Panel,Battery_Backup,Outdoor_Temperature,Humidity,Season,Month,Day_of_Week,Is_Weekend,Is_Holiday,Peak_Hour_Usage,Electricity_Rate,Daily_Electricity_Consumption_kWh
H00055,Independent House,1106,3,2,2,0,0,0,5.86,9.55,24,0.99,1.83,6.5,1,1.47,0.11,0.0,0,0,0,37.1,53.9,Summer,4,Friday,0,0,0,23.25,14.17
H00056,Apartment,818,3,3,1,2,0,0,1.32,7.35,24,5.78,1.89,8.01,1,0.11,0.24,0.54,1,0,0,16.9,61.4,Winter,12,Thursday,0,0,0,26.11,15.36
H00057,Independent House,1142,3,2,1,0,1,1,9.03,6.91,24,4.43,8.23,5.43,1,0.51,0.06,0.89,0,1,0,36.5,25.6,Summer,4,Monday,0,0,0,21.37,14.32
H00058,Independent House,2147,7,4,3,1,0,0,3.02,6.27,24,5.68,4.0,6.14,1,0.71,0.4,1.46,0,0,0,15.4,44.8,Winter,12,Sunday,1,0,0,25.56,15.53
H00059,Apartment,1099,4,3,3,0,0,0,2.47,6.14,24,3.28,1.96,7.34,1,1.22,0.42,0.0,0,0,0,28.5,69.4,Autumn,9,Monday,0,1,0,23.09,10.8
H00060,Apartment,474,2,4,1,2,1,0,1.28,10.31,24,4.67,4.82,9.15,0,1.79,0.35,0.31,1,0,0,25.5,59.2,Spring,3,Tuesday,0,0,1,23.2,15.56
H00061,Apartment,1148,3,3,1,2,0,0,3.45,7.32,24,3.7,4.72,6.05,1,1.1,0.17,0.07,0,0,0,29.1,45.7,Autumn,7,Thursday,0,0,0,23.77,11.85
H00062,Independent House,1065,3,5,3,2,0,0,1.59,6.8,24,3.97,3.34,6.71,1,0.37,0.57,0.33,0,0,0,27.6,64.3,Autumn,10,Thursday,0,0,0,21.94,8.79
H00063,Independent House,1616,5,3,2,0,1,0,6.87,11.06,24,3.94,3.76,8.31,1,1.81,0.39,0.21,0,0,0,40.5,42.4,Summer,4,Saturday,1,0,0,19.12,18.58
H00064,Apartment,676,1,4,3,0,1,0,0.0,5.18,24,6.31,4.22,7.43,1,1.27,0.31,0.36,0,0,0,23.9,21.6,Spring,3,Saturday,1,0,1,21.18,6.11
H00065,Apartment,709,2,2,1,1,0,0,1.33,7.47,24,3.02,3.34,7.49,1,1.15,0.21,0.65,1,0,0,18.2,18.6,Autumn,8,Wednesday,0,0,0,19.24,14.77
H00066,Villa,3382,9,2,1,1,0,0,1.02,4.23,24,6.77,3.55,9.98,0,1.67,0.26,0.76,0,0,0,25.1,55.5,Autumn,9,Sunday,1,0,0,26.9,13.01
H00067,Independent House,1256,3,5,2,2,1,1,0.37,6.95,24,6.69,8.47,11.26,1,1.07,0.2,0.0,0,0,0,23.9,47.5,Autumn,8,Friday,0,0,0,17.45,8.02
H00068,Apartment,725,2,3,1,2,0,0,3.32,6.52,24,3.4,4.21,6.62,1,0.94,0.16,0.47,0,0,0,26.9,64.8,Autumn,8,Tuesday,0,0,0,22.57,11.39
H00069,Villa,3374,10,3,2,1,0,0,0.34,4.39,24,4.44,3.89,7.9,1,0.7,0.47,1.53,0,0,0,18.3,81.9,Winter,11,Friday,0,0,1,21.65,12.3
H00070,Independent House,1330,3,5,3,2,0,0,1.09,7.65,24,5.55,4.72,10.18,1,1.01,0.21,0.22,0,0,0,25.3,60.7,Autumn,7,Saturday,1,0,1,21.4,9.24
H00071,Apartment,956,3,4,2,1,1,0,0.0,6.08,24,4.59,3.07,9.29,1,1.57,0.39,0.0,0,0,1,22.6,52.2,Spring,3,Wednesday,0,1,0,25.26,7.21
H00072,Apartment,1268,3,3,1,2,0,1,2.0,6.31,24,4.29,4.42,8.72,1,0.86,0.12,0.61,0,0,0,20.4,35.9,Autumn,9,Thursday,0,0,1,20.46,10.33
H00073,Apartment,796,2,4,1,2,1,0,3.09,7.47,24,2.16,3.35,6.9,1,1.41,0.32,0.89,0,0,0,26.6,79.6,Autumn,8,Friday,0,0,0,23.83,12.06
H00074,Apartment,458,1,1,1,0,0,0,3.12,8.36,24,2.63,0.31,3.82,0,1.04,0.21,0.64,0,0,1,28.9,90.5,Spring,3,Friday,0,0,1,20.69,10.03
H00075,Apartment,1052,3,1,1,0,0,0,0.8,7.64,24,1.55,3.88,7.63,0,1.77,0.63,0.92,0,0,0,10.6,67.2,Winter,1,Friday,0,0,1,24.57,9.69
H00076,Independent House,1158,3,4,1,2,1,1,0.0,4.71,24,8.65,6.71,5.22,1,1.57,0.45,1.17,0,0,0,14.2,43.8,Winter,11,Friday,0,0,1,19.17,8.76
H00077,Apartment,1006,3,4,2,2,0,1,0.0,5.69,24,8.0,3.92,8.66,0,1.84,0.23,0.65,0,0,1,11.9,61.7,Winter,1,Sunday,1,0,0,22.63,7.75
H00078,Apartment,928,2,4,2,2,0,1,0.0,5.93,24,4.94,9.05,7.45,1,0.06,0.3,1.06,0,0,0,11.5,48.3,Winter,11,Tuesday,0,0,0,29.9,6.88
H00079,Apartment,813,3,1,1,0,0,0,0.0,5.66,24,1.67,2.69,9.5,0,1.75,0.59,0.51,0,0,0,16.5,69.4,Winter,12,Wednesday,0,0,0,23.49,7.46
H00080,Apartment,994,2,2,1,1,0,1,0.0,7.18,24,8.39,4.61,4.0,1,2.17,0.27,0.57,0,1,0,26.7,49.8,Spring,3,Wednesday,0,0,0,28.33,5.57
H00081,Apartment,695,1,3,1,2,0,1,3.07,5.88,24,5.92,8.68,6.64,0,1.68,0.38,0.59,0,0,0,23.5,69.3,Spring,2,Saturday,1,0,1,23.55,12.19
H00082,Independent House,1270,3,3,2,1,0,0,5.54,10.88,24,3.16,3.15,9.62,1,1.2,0.06,0.0,0,0,1,38.3,53.0,Summer,6,Wednesday,0,0,1,21.54,15.41
H00083,Apartment,592,1,3,3,0,0,1,0.0,4.7,24,7.05,5.3,8.61,1,1.44,0.38,1.42,0,0,0,14.1,87.8,Winter,1,Sunday,1,0,0,30.28,8.52
H00084,Independent House,1312,4,4,2,1,1,0,1.69,9.04,24,1.82,1.94,8.44,0,1.43,0.31,0.08,1,0,0,24.6,39.2,Autumn,8,Monday,0,0,1,20.76,15.81
H00085,Apartment,768,2,3,1,2,0,1,0.0,4.01,24,4.89,8.87,8.39,0,1.06,0.35,0.13,0,0,1,14.5,69.7,Winter,1,Friday,0,0,1,26.02,6.2
H00086,Independent House,1470,5,4,3,1,0,1,2.01,7.31,24,5.72,9.66,8.61,0,0.88,0.33,1.03,0,0,0,21.4,40.1,Winter,12,Friday,0,0,1,21.24,12.85
H00087,Independent House,1353,4,3,3,0,0,1,0.89,5.29,24,6.13,7.11,9.76,0,1.69,0.1,1.27,0,0,0,18.7,65.1,Winter,11,Saturday,1,0,0,24.03,10.68
H00088,Apartment,741,3,2,2,0,0,0,7.71,8.75,24,4.36,3.62,6.03,0,1.63,0.3,0.45,1,0,0,42.4,59.9,Summer,4,Tuesday,0,0,0,25.73,24.27
H00089,Apartment,1123,3,4,3,1,0,0,3.14,8.22,24,8.0,3.46,6.19,1,1.17,0.47,0.42,0,1,0,28.3,64.8,Spring,2,Sunday,1,0,0,24.06,9.41
H00090,Apartment,736,3,3,1,2,0,1,4.31,5.13,24,7.45,6.78,7.3,1,1.4,0.19,0.72,0,0,0,25.6,66.4,Autumn,7,Sunday,1,0,1,22.92,15.36
H00091,Independent House,865,2,4,3,1,0,0,1.25,8.97,24,3.86,2.75,10.14,1,1.32,0.32,0.34,0,0,0,27.4,49.6,Spring,3,Thursday,0,0,0,23.76,9.66
H00092,Apartment,651,1,1,1,0,0,1,6.82,12.78,24,1.81,4.86,5.73,0,1.29,0.51,0.09,0,1,0,36.9,33.1,Summer,6,Tuesday,0,0,0,20.03,11.09
H00093,Apartment,624,1,6,3,2,1,1,5.36,3.53,24,7.9,8.15,10.6,1,2.41,0.43,0.23,0,0,0,36.9,70.9,Summer,4,Tuesday,0,0,0,20.34,16.66
H00094,Apartment,867,2,5,3,2,0,1,0.0,5.71,24,4.27,7.22,9.26,0,1.98,0.11,0.0,0,0,0,22.3,66.0,Autumn,10,Tuesday,0,0,1,16.75,6.32
H00095,Apartment,995,2,2,2,0,0,0,7.03,9.16,24,5.51,3.59,7.47,1,0.99,0.4,0.09,0,0,1,39.0,63.0,Summer,4,Monday,0,1,1,23.62,17.64
H00096,Independent House,1498,4,4,2,2,0,0,5.77,11.86,24,4.14,8.11,8.62,1,2.12,0.03,0.04,0,0,1,36.8,59.5,Summer,4,Tuesday,0,0,1,23.26,16.62
H00097,Independent House,1804,6,4,3,1,0,0,1.69,5.17,24,3.56,4.73,7.95,1,1.33,0.44,0.01,0,0,0,28.1,45.1,Autumn,7,Wednesday,0,0,0,18.17,10.36
H00098,Villa,3228,9,4,2,2,0,1,0.0,6.65,24,7.26,6.52,7.2,1,2.05,0.08,0.04,0,0,0,22.5,30.0,Autumn,8,Thursday,0,0,1,24.85,9.24
H00099,Independent House,1556,5,5,3,2,0,0,7.88,10.83,24,6.56,1.49,9.13,0,2.28,0.15,0.0,0,0,0,35.6,30.2,Summer,6,Wednesday,0,0,1,26.29,20.99
H00100,Apartment,913,3,3,2,1,0,0,3.26,8.9,24,5.73,2.74,7.46,1,1.16,0.11,0.58,0,0,0,38.9,57.8,Summer,6,Tuesday,0,0,0,23.08,12.7
H00101,Apartment,760,3,3,1,2,0,0,0.0,8.45,24,2.89,3.98,3.71,0,1.0,0.52,0.54,0,1,1,23.1,53.0,Autumn,7,Tuesday,0,0,1,20.24,4.07
H00102,Independent House,1816,6,5,2,2,1,0,1.69,3.12,24,6.64,2.93,8.14,1,1.92,0.2,0.1,0,0,0,24.8,54.3,Spring,2,Sunday,1,0,1,24.37,11.38
H00103,Independent House,1316,4,4,2,2,0,1,1.39,7.42,24,6.17,5.36,10.33,1,0.83,0.14,0.11,0,0,1,21.5,47.6,Autumn,10,Thursday,0,0,0,25.1,8.58
H00104,Apartment,689,1,2,1,1,0,0,0.0,6.11,24,4.19,1.35,6.39,1,1.05,0.09,1.24,0,0,0,16.9,68.8,Winter,1,Sunday,1,0,0,25.06,7.92
H00105,Apartment,1274,4,4,2,2,0,0,0.0,4.01,24,4.86,5.01,7.81,0,0.0,0.34,0.98,0,0,0,15.6,41.6,Winter,1,Friday,0,0,0,19.71,7.96
H00106,Independent House,1484,4,2,2,0,0,0,4.14,4.85,24,1.75,3.11,7.72,1,1.43,0.29,0.44,0,1,0,25.0,54.8,Spring,3,Tuesday,0,0,1,19.75,10.0
H00107,Independent House,1081,4,4,3,1,0,0,1.0,4.53,24,4.18,4.41,10.34,1,1.58,0.39,0.54,0,0,0,12.8,64.0,Winter,1,Monday,0,0,0,22.17,10.49
H00108,Independent House,1559,4,3,1,1,1,0,6.8,9.38,24,4.27,2.3,6.88,1,0.5,0.09,0.31,0,0,0,43.4,51.7,Summer,6,Saturday,1,0,1,23.53,17.66
H00109,Apartment,682,1,3,2,0,1,0,1.96,7.48,24,4.7,2.86,6.68,1,0.92,0.07,1.39,0,0,0,15.7,52.7,Winter,11,Thursday,0,0,0,23.07,10.42
H00110,Independent House,1570,4,2,2,0,0,0,4.56,9.57,24,3.31,3.04,7.22,0,1.92,0.12,0.58,0,0,0,40.3,64.2,Summer,4,Thursday,0,0,0,23.16,15.3
H00111,Independent House,1814,5,5,3,2,0,0,2.67,9.6,24,2.63,3.19,12.21,1,1.77,0.3,0.58,0,1,1,24.1,50.3,Autumn,9,Thursday,0,0,0,21.81,10.97
H00112,Independent House,1983,5,3,1,2,0,0,4.76,6.17,24,5.87,4.56,9.22,1,1.35,0.33,0.18,0,0,0,25.5,36.0,Spring,2,Sunday,1,0,0,22.62,16.12
H00113,Independent House,2269,7,4,3,0,1,0,1.43,5.47,24,3.84,3.41,7.04,0,0.87,0.19,0.0,0,0,0,22.5,54.5,Autumn,10,Monday,0,0,1,21.31,8.37
H00114,Independent House,1139,4,4,2,2,0,0,4.85,9.16,24,4.72,4.99,6.56,1,1.38,0.19,0.7,0,0,0,38.6,59.3,Summer,4,Friday,0,0,1,21.52,16.45
H00115,Apartment,701,2,5,2,2,1,0,0.0,6.53,24,6.24,7.12,8.29,1,1.75,0.49,0.38,0,0,0,22.5,57.6,Autumn,10,Sunday,1,0,0,21.21,7.98
H00116,Independent House,1829,6,3,3,0,0,0,6.64,9.19,24,5.38,6.29,4.37,1,1.67,0.25,0.6,0,0,0,37.9,72.6,Summer,6,Thursday,0,0,0,22.41,16.91
H00117,Independent House,1910,6,1,1,0,0,0,0.27,6.86,24,4.64,4.3,8.28,1,2.14,0.32,0.93,0,0,0,14.4,65.5,Winter,1,Tuesday,0,0,1,23.82,10.91
H00118,Apartment,819,3,3,3,0,0,0,0.0,5.15,24,3.04,3.97,5.16,0,1.58,0.48,0.81,0,0,0,13.1,59.3,Winter,1,Monday,0,0,1,19.81,7.57
H00119,Independent House,1701,4,3,1,2,0,0,5.97,13.78,24,5.01,2.57,6.06,1,1.28,0.68,0.57,0,0,0,41.9,56.8,Summer,5,Wednesday,0,0,0,21.26,16.86
H00120,Independent House,1288,4,3,3,0,0,1,0.0,5.14,24,7.78,5.48,6.12,1,0.57,0.34,1.29,0,0,0,13.8,65.5,Winter,1,Sunday,1,1,1,21.41,9.6
H00121,Apartment,1045,3,5,3,2,0,0,1.78,5.95,24,7.15,2.41,8.82,1,1.59,0.51,0.0,0,0,0,23.9,70.3,Spring,2,Saturday,1,1,0,26.12,9.66
H00122,Independent House,2069,6,3,2,1,0,0,0.0,6.71,24,3.9,2.46,8.08,0,2.24,0.34,0.0,0,1,1,24.5,41.3,Autumn,7,Wednesday,0,0,0,21.8,5.44
H00123,Apartment,817,2,3,1,2,0,1,0.0,4.83,24,8.07,4.68,3.19,1,0.92,0.1,1.19,0,0,0,10.0,35.7,Winter,1,Saturday,1,0,1,23.38,7.73
H00124,Apartment,1291,4,5,3,1,1,0,0.86,7.61,24,5.3,0.89,10.62,1,1.03,0.07,0.85,0,0,0,25.8,57.4,Autumn,7,Thursday,0,0,1,27.2,9.87
H00125,Apartment,660,2,2,1,1,0,1,1.28,6.9,24,5.39,4.2,5.23,0,1.06,0.21,0.0,0,0,0,25.0,68.4,Spring,3,Saturday,1,0,1,15.65,6.73
H00126,Independent House,647,1,2,2,0,0,0,0.08,9.51,24,2.49,2.24,7.13,0,1.35,0.25,0.0,0,0,0,25.6,67.5,Autumn,8,Wednesday,0,0,0,14.99,4.59
H00127,Apartment,879,2,3,1,1,1,0,0.79,5.41,24,4.97,2.59,7.28,0,0.25,0.5,0.33,0,0,0,20.8,38.0,Autumn,10,Saturday,1,0,0,20.77,6.05
H00128,Villa,2970,8,6,3,2,1,0,0.47,5.55,24,5.84,2.91,7.44,1,1.63,0.48,0.0,0,0,0,23.4,42.5,Autumn,7,Saturday,1,0,0,27.81,10.03
H00129,Apartment,766,2,4,2,2,0,0,3.97,6.47,24,4.97,1.82,6.52,0,1.35,0.18,0.41,0,0,0,28.6,28.4,Spring,2,Friday,0,0,0,23.09,12.33
H00130,Apartment,1316,3,5,3,2,0,0,4.64,5.07,24,4.45,7.12,8.7,1,1.22,0.2,0.14,0,0,0,24.9,77.5,Spring,3,Monday,0,0,0,21.41,12.82
H00131,Apartment,1135,4,4,3,1,0,0,0.0,5.94,24,3.63,3.48,8.77,1,0.57,0.41,0.53,0,0,0,17.9,39.9,Winter,11,Friday,0,0,1,23.83,7.92
H00132,Apartment,653,2,4,3,1,0,0,4.05,10.84,24,5.19,3.72,8.45,1,0.8,0.27,0.61,0,0,0,24.7,56.2,Autumn,8,Saturday,1,0,1,27.7,13.62
H00133,Independent House,1848,6,3,1,2,0,1,4.9,5.82,24,5.81,5.82,7.87,1,1.64,0.41,0.0,0,0,0,38.8,72.5,Summer,5,Wednesday,0,0,1,26.07,15.89
H00134,Apartment,1011,3,3,2,0,1,0,0.0,5.53,24,3.2,3.09,9.16,1,1.18,0.15,0.87,0,0,0,21.6,52.2,Autumn,8,Sunday,1,0,1,17.27,8.12
H00135,Apartment,1036,2,2,1,0,1,0,4.74,12.06,24,2.46,4.77,7.42,1,0.82,0.29,0.27,1,0,0,41.1,40.3,Summer,4,Tuesday,0,0,0,21.51,22.14
H00136,Apartment,1118,4,4,2,2,0,0,4.84,10.57,24,4.46,3.98,9.1,1,1.29,0.15,0.0,0,0,0,35.9,72.4,Summer,4,Monday,0,0,1,16.52,15.43
