House_ID,Area_sqft,Number_of_Rooms,Family_Members,Adults,Children,Senior_Citizens,Work_From_Home,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Hours,TV_Hours,Laptop_Hours,Lighting_Hours_Per_Room,Washing_Machine_Usage,Water_Motor_Hours,Microwave_Usage_Hours,Geyser_Usage_Hours,EV_Charging,Solar_Panel,Battery_Backup,Outdoor_Temperature,Humidity,Month,Is_Weekend,Is_Holiday,Peak_Hour_Usage,Electricity_Rate,Daily_Electricity_Consumption_kWh,House_Type_Independent House,House_Type_Villa,Season_Spring,Season_Summer,Season_Winter,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Total_Appliance_Hours,Power_Usage_Index,Appliance_Density,Weather_Severity_Index,Occupancy_Score,Appliance_Load_Score,Peak_Load_Interaction,Temperature_Category_Extreme,Temperature_Category_Hot,Temperature_Category_Mild,Temperature_Category_Warm,Lifestyle_Category_Small_Household,Lifestyle_Category_Standard_Household,Lifestyle_Category_WFH_Large_Family,Lifestyle_Category_WFH_Small_Household
H00011,1329,3,5,3,2,0,0,6.88,7.32,24,4.04,3.25,7.9,1,1.67,0.49,0.45,0,0,0,38.6,62.6,5,0,1,0,26.95,18.17,0,0,0,1,0,0,0,0,0,1,0,24.099999999999994,14.208499999999999,18.133935289691493,12.88,6.0,7,0.0,0,1,0,0,0,0,0,0
H00012,1274,3,3,2,1,0,0,8.3,10.43,24,4.4,3.7,9.2,1,1.47,0.14,0.38,0,0,0,38.0,66.3,6,0,0,0,23.5,21.22,0,0,0,1,0,0,0,0,0,0,0,28.82,15.924749999999998,22.621664050235477,12.829999999999998,3.0,7,0.0,0,1,0,0,0,1,0,0
H00013,791,2,2,1,1,0,1,0.56,8.44,24,7.9,7.02,7.59,1,0.79,0.22,0.6,1,0,0,22.7,45.7,10,1,0,1,23.83,15.52,0,0,0,0,0,0,1,0,0,0,0,25.529999999999998,4.7407,32.275600505689,0.9199999999999993,3.0,10,1.1600000000000001,0,0,1,0,0,0,0,1
H00014,1966,5,3,3,0,0,0,4.78,8.23,24,6.01,5.08,4.75,0,0.98,0.47,0.62,0,0,0,37.3,67.8,4,0,0,0,19.9,14.71,1,0,0,1,0,1,0,0,0,0,0,26.17,11.23205,13.311291963377418,12.489999999999997,3.0,6,0.0,0,1,0,0,0,1,0,0
H00015,838,2,4,2,2,0,0,0.67,8.51,24,2.33,4.15,7.88,1,1.86,0.16,0.0,0,0,0,28.1,55.7,9,0,0,0,20.95,7.1,0,0,0,0,0,0,0,0,0,1,0,17.68,3.7122500000000005,21.09785202863962,4.840000000000001,4.0,5,0.0,0,0,0,1,0,1,0,0
H00016,1756,5,3,1,2,0,0,3.49,6.27,24,5.63,4.06,7.04,1,1.15,0.27,0.41,0,0,0,24.2,42.3,9,1,0,1,19.89,12.56,1,0,0,0,0,0,0,1,0,0,0,21.279999999999998,8.51835,12.118451025056947,2.3099999999999996,3.5999999999999996,7,3.9000000000000004,0,0,1,0,0,1,0,0
H00017,1289,4,2,1,1,0,0,1.2,7.58,24,4.52,4.35,8.93,0,1.79,0.23,0.0,1,0,1,22.2,26.3,10,0,0,0,26.06,14.55,1,0,0,0,0,0,0,0,1,0,0,19.669999999999998,4.7,15.259891388673388,2.51,2.0,7,0.0,0,0,1,0,1,0,0,0
H00018,780,2,3,1,1,1,0,3.19,7.22,24,2.67,2.47,7.94,0,1.45,0.0,0.19,0,0,1,33.9,45.4,5,0,0,0,23.24,10.91,0,0,0,1,0,0,0,0,0,0,0,17.19,7.2092,22.03846153846154,8.79,3.0,5,0.0,0,1,0,0,0,1,0,0
H00019,1019,3,3,2,1,0,0,1.67,7.66,24,1.46,4.93,8.41,1,1.43,0.39,0.0,0,0,0,26.1,68.0,2,0,0,0,25.62,10.21,0,0,1,0,0,0,0,0,1,0,0,17.54,5.0618,17.21295387634936,4.670000000000001,3.0,5,0.0,0,0,0,1,0,1,0,0
H00020,680,2,4,1,2,1,0,0.0,6.34,24,4.15,0.3,8.01,1,1.22,0.2,0.39,0,1,0,23.6,46.6,2,0,0,1,24.55,4.24,0,0,1,0,0,0,0,0,0,0,0,12.600000000000001,2.8435000000000006,18.529411764705884,1.4600000000000009,4.0,4,0.39,0,0,1,0,0,1,0,0
H00021,845,3,2,2,0,0,0,4.46,5.68,24,3.05,3.68,5.99,0,1.79,0.33,0.33,0,0,0,30.1,62.1,3,1,0,0,19.37,12.89,0,0,1,0,0,0,0,1,0,0,0,19.319999999999997,10.0403,22.863905325443785,6.880000000000001,2.4,6,0.0,0,0,0,1,1,0,0,0
H00022,1620,5,3,1,2,0,0,6.14,9.21,24,3.47,0.06,8.64,0,1.27,0.3,0.48,0,0,0,38.0,30.4,4,0,0,1,16.76,19.43,1,0,0,1,0,0,0,0,0,1,0,20.93,12.52385,12.919753086419753,13.16,3.0,6,6.619999999999999,0,1,0,0,0,1,0,0
H00023,1028,3,2,2,0,0,1,0.0,8.01,24,3.79,7.73,5.03,1,0.84,0.67,0.29,1,0,1,14.8,42.1,11,0,0,0,18.9,13.94,0,0,0,0,1,0,0,0,0,0,1,21.330000000000002,3.4575500000000003,20.74902723735409,5.829999999999999,2.6,7,0.0,0,0,0,0,0,0,0,1
H00024,918,3,4,1,2,1,0,1.99,8.82,24,6.13,4.96,10.82,1,1.0,0.41,1.18,0,0,0,28.0,35.6,3,0,0,0,24.06,11.27,0,0,1,0,0,0,0,0,0,0,0,24.490000000000002,8.159099999999999,26.677559912854033,5.639999999999999,4.0,7,0.0,0,0,0,1,0,1,0,0
H00025,442,2,5,3,2,0,0,0.0,7.94,24,3.41,4.07,8.16,1,1.03,0.42,0.81,0,0,0,21.4,48.1,7,0,0,1,20.67,8.37,0,0,0,0,0,0,0,0,0,0,1,17.680000000000003,4.0772,40.00000000000001,0.6100000000000009,5.0,4,0.81,0,0,1,0,0,0,0,0
H00026,1102,3,3,2,1,0,0,3.48,5.39,24,4.53,3.79,6.54,0,1.85,0.25,0.11,0,0,1,26.3,58.2,7,1,0,0,18.3,10.82,0,0,0,0,0,0,0,1,0,0,0,19.4,8.212150000000001,17.604355716878402,3.8300000000000005,3.5999999999999996,6,0.0,0,0,0,1,0,1,0,0
H00027,1293,4,3,1,2,0,0,0.0,2.99,24,5.27,1.79,7.22,0,0.0,0.29,0.91,0,0,0,12.1,74.1,11,1,0,1,24.09,6.72,1,0,0,0,1,0,1,0,0,0,0,11.25,3.02665,8.700696055684455,9.34,3.5999999999999996,3,0.91,0,0,0,0,0,1,0,0
H00028,679,1,2,1,1,0,0,6.81,3.42,24,2.55,1.38,4.95,0,1.3,0.09,0.0,0,0,0,33.7,38.4,3,1,0,1,23.46,13.6,0,0,1,0,0,0,1,0,0,0,0,15.55,11.892300000000002,22.901325478645067,9.350000000000001,2.4,4,6.81,0,1,0,0,1,0,0,0
H00029,759,2,3,3,0,0,1,0.92,7.58,24,5.96,7.99,8.14,0,1.37,0.43,0.51,0,0,1,25.6,29.6,3,1,0,0,22.79,9.13,0,0,1,0,0,0,1,0,0,0,0,24.760000000000005,5.587400000000001,32.62187088274045,4.5600000000000005,4.5,6,0.0,0,0,0,1,0,0,0,1
H00030,766,3,3,2,0,1,0,1.54,11.06,24,4.46,1.68,5.87,1,1.09,0.47,0.76,0,0,1,29.1,56.3,7,0,0,0,19.72,10.2,0,0,0,0,0,1,0,0,0,0,0,21.060000000000002,6.5878,27.493472584856402,5.6000000000000005,3.0,7,0.0,0,0,0,1,0,1,0,0
H00031,788,2,4,2,2,0,0,1.84,7.19,24,1.24,3.2,8.46,1,0.89,0.09,0.0,0,0,0,22.1,52.6,9,0,0,0,17.94,8.27,0,0,0,0,0,0,0,0,0,0,0,14.450000000000003,4.39075,18.337563451776653,0.3300000000000012,4.0,5,0.0,0,0,1,0,0,1,0,0
H00032,1682,4,3,1,1,1,0,2.54,4.63,24,2.59,6.93,8.92,1,0.9,0.4,0.7,0,0,1,20.2,35.1,9,0,0,1,24.07,12.88,1,0,0,0,0,0,0,0,0,1,0,18.689999999999994,7.38705,11.111771700356714,2.7500000000000004,3.0,7,3.24,0,0,1,0,0,1,0,0
H00033,1503,4,3,2,0,1,0,6.05,5.77,24,5.15,2.25,8.36,0,1.88,0.25,0.84,0,0,0,26.2,36.2,10,1,1,0,13.86,18.51,1,0,0,0,0,0,0,1,0,0,0,22.189999999999998,13.54775,14.763805721889552,4.319999999999999,4.199999999999999,6,0.0,0,0,0,1,0,1,0,0
H00034,890,2,3,3,0,0,0,1.67,6.49,24,5.19,2.45,6.68,1,0.0,0.23,0.88,0,0,0,22.0,63.8,2,0,0,0,21.81,8.7,0,0,1,0,0,1,0,0,0,0,0,16.91,5.69375,19.0,1.38,3.0,7,0.0,0,0,1,0,0,1,0,0
H00035,513,2,1,1,0,0,0,1.07,9.53,24,6.45,0.65,6.11,0,0.89,0.22,0.05,0,1,1,26.0,89.6,7,1,1,1,25.57,5.19,0,0,0,0,0,0,0,1,0,0,0,18.86,4.03525,36.76413255360624,6.76,1.4,6,1.12,0,0,0,1,1,0,0,0
H00036,1250,4,4,3,1,0,1,0.0,5.29,24,4.71,7.39,8.92,1,1.1,0.16,0.0,0,0,0,23.6,71.9,9,0,0,0,23.65,7.14,1,0,0,0,0,1,0,0,0,0,0,18.650000000000002,2.3281500000000004,14.920000000000002,3.310000000000002,5.2,2,0.0,0,0,1,0,0,0,1,0
H00037,1809,6,5,2,2,1,1,1.66,6.39,24,4.78,8.4,7.94,1,1.72,0.29,0.39,0,0,0,26.6,45.4,8,0,0,0,21.54,12.38,1,0,0,0,0,0,0,0,0,0,1,23.629999999999995,6.36925,13.06246545052515,3.6800000000000006,6.5,7,0.0,0,0,0,1,0,0,1,0
H00038,521,1,4,2,2,0,1,0.78,4.75,24,6.34,8.91,7.12,0,1.18,0.21,1.76,0,0,0,16.3,65.2,12,0,0,0,25.41,9.72,0,0,0,0,1,0,0,0,1,0,0,23.930000000000003,7.351849999999999,45.930902111324386,5.51,5.2,6,0.0,0,0,1,0,0,0,1,0
H00039,877,2,3,1,2,0,0,6.57,12.63,24,4.46,2.31,8.4,1,1.45,0.56,1.31,0,0,0,41.5,27.3,4,1,0,0,17.03,20.89,0,0,0,1,0,0,1,0,0,0,0,29.29,15.766350000000003,33.397947548460664,15.919999999999998,3.5999999999999996,7,0.0,1,0,0,0,0,1,0,0
H00040,404,2,4,2,2,0,0,0.67,6.09,24,2.49,5.45,5.98,1,2.18,0.28,0.0,0,0,1,25.1,31.3,7,0,0,1,24.71,7.86,0,0,0,0,0,1,0,0,0,0,0,17.16,4.008750000000001,42.475247524752476,4.040000000000001,4.0,5,0.67,0,0,0,1,0,1,0,0
H00041,2490,7,2,1,1,0,0,5.83,10.28,24,0.91,2.87,5.7,0,1.11,0.19,0.38,0,0,0,39.3,51.7,6,0,0,0,18.81,16.52,0,1,0,1,0,0,0,0,1,0,0,21.57,11.5997,8.662650602409638,12.279999999999998,2.0,6,0.0,0,1,0,0,1,0,0,0
H00042,1518,5,4,2,1,1,0,5.51,6.22,24,6.16,4.02,7.18,1,0.96,0.15,0.09,0,0,0,28.0,58.0,7,0,0,0,27.18,15.82,1,0,0,0,0,0,0,0,0,0,1,23.11,10.6687,15.223978919631092,4.999999999999999,4.0,7,0.0,0,0,0,1,0,1,0,0
H00043,2565,7,4,2,2,0,1,0.0,8.77,24,8.39,7.48,10.53,1,2.5,0.36,0.97,0,0,0,10.9,72.0,1,1,1,1,20.88,13.01,0,1,0,0,1,0,1,0,0,0,0,28.47,6.192550000000001,11.099415204678362,9.969999999999999,6.8,4,0.97,0,0,0,0,0,0,1,0
H00044,590,2,4,2,2,0,0,1.67,5.44,24,7.97,6.43,7.13,1,1.34,0.17,0.0,0,0,0,25.7,44.0,2,1,0,0,17.14,9.49,0,0,1,0,0,0,0,1,0,0,0,23.02,5.304799999999999,39.01694915254237,3.1899999999999995,4.8,5,0.0,0,0,0,1,0,1,0,0
H00045,870,3,2,2,0,0,0,0.0,5.36,24,5.85,3.81,7.37,1,1.05,0.36,0.87,0,0,1,8.1,49.8,11,0,0,0,20.35,7.9,0,0,0,0,1,0,0,0,1,0,0,17.3,4.1751,19.885057471264368,9.75,2.0,4,0.0,0,0,0,0,1,0,0,0
H00046,1801,6,2,2,0,0,0,0.0,13.0,24,2.31,3.85,5.31,1,1.52,0.21,1.07,0,0,0,25.6,71.3,2,0,0,1,21.91,10.26,0,1,1,0,0,1,0,0,0,0,0,21.96,4.968999999999999,12.193225985563576,4.65,2.0,4,1.07,0,0,0,1,1,0,0,0
H00047,1520,4,4,1,2,1,1,6.57,10.54,24,7.16,8.29,8.69,1,1.79,0.12,0.54,0,0,1,39.3,70.1,5,0,0,0,24.1,19.0,1,0,0,1,0,1,0,0,0,0,0,35.01,14.4254,23.032894736842103,14.119999999999997,5.2,7,0.0,0,1,0,0,0,0,1,0
H00048,903,2,3,3,0,0,0,1.63,9.07,24,1.02,2.46,7.53,1,1.76,0.09,0.34,0,0,0,14.5,44.5,1,0,0,1,24.04,9.22,0,0,0,0,1,0,0,0,0,0,1,16.37,5.482849999999999,18.128460686600224,5.8,3.0,7,1.97,0,0,0,0,0,1,0,0
H00049,2565,7,2,2,0,0,0,0.6,9.03,24,4.29,2.34,4.34,0,1.48,0.15,1.04,0,0,0,15.7,26.3,11,0,0,0,18.0,9.55,0,1,0,0,1,0,0,0,0,0,0,18.929999999999996,5.51665,7.380116959064326,6.78,2.0,6,0.0,0,0,1,0,1,0,0,0
H00050,1326,4,5,3,2,0,0,6.1,7.78,24,6.87,4.36,6.45,1,1.39,0.4,0.48,0,0,0,39.7,72.4,5,1,0,0,21.27,16.5,1,0,0,1,0,0,1,0,0,0,0,27.38,13.1646,20.648567119155356,14.63,6.0,7,0.0,0,1,0,0,0,0,0,0
H00051,884,2,5,3,2,0,0,5.19,5.27,24,6.41,6.48,8.05,1,1.35,0.22,0.0,0,0,1,24.4,53.7,10,0,0,0,23.69,13.43,0,0,0,0,0,1,0,0,0,0,0,24.92,10.486550000000001,28.19004524886878,2.049999999999999,5.0,5,0.0,0,0,1,0,0,0,0,0
H00052,758,3,3,1,2,0,0,0.0,4.0,24,3.71,3.65,8.74,0,0.3,0.32,0.45,0,0,0,23.3,31.9,8,0,0,0,25.75,5.94,0,0,0,0,0,0,0,0,0,1,0,12.43,2.399,16.398416886543536,2.7200000000000006,3.0,3,0.0,0,0,1,0,0,1,0,0
H00053,896,2,2,2,0,0,1,0.0,6.85,24,4.88,6.71,10.42,0,0.86,0.12,0.39,0,0,1,13.2,51.5,1,0,0,0,18.43,6.32,0,0,0,0,1,1,0,0,0,0,0,19.810000000000002,2.97335,22.109375000000004,6.3100000000000005,2.6,3,0.0,0,0,0,0,0,0,0,1
H00054,902,3,3,3,0,0,1,1.75,9.34,24,6.61,5.83,8.24,0,0.75,0.31,0.37,0,0,1,26.8,59.8,3,1,0,1,21.92,9.94,1,0,1,0,0,0,1,0,0,0,0,24.96,6.0108,27.671840354767184,4.34,4.5,6,2.12,0,0,0,1,0,0,0,1
H00055,1106,3,2,2,0,0,0,5.86,9.55,24,0.99,1.83,6.5,1,1.47,0.11,0.0,0,0,0,37.1,53.9,4,0,0,0,23.25,14.17,1,0,0,1,0,0,0,0,0,0,0,19.809999999999995,10.94955,17.911392405063285,10.96,2.0,5,0.0,0,1,0,0,1,0,0,0
H00056,818,3,3,1,2,0,0,1.32,7.35,24,5.78,1.89,8.01,1,0.11,0.24,0.54,1,0,0,16.9,61.4,12,0,0,0,26.11,15.36,0,0,0,0,1,0,0,0,1,0,0,17.229999999999997,4.67315,21.063569682151584,4.710000000000001,3.0,10,0.0,0,0,1,0,0,1,0,0
H00057,1142,3,2,1,0,1,1,9.03,6.91,24,4.43,8.23,5.43,1,0.51,0.06,0.89,0,1,0,36.5,25.6,4,0,0,0,21.37,14.32,1,0,0,1,0,1,0,0,0,0,0,30.06,17.23455,26.322241681260945,12.589999999999998,2.6,7,0.0,0,1,0,0,0,0,0,1
H00058,2147,7,4,3,1,0,0,3.02,6.27,24,5.68,4.0,6.14,1,0.71,0.4,1.46,0,0,0,15.4,44.8,12,1,0,0,25.56,15.53,1,0,0,0,1,0,0,1,0,0,0,21.54,9.74075,10.032603632976246,5.14,4.8,7,0.0,0,0,1,0,0,1,0,0
H00059,1099,4,3,3,0,0,0,2.47,6.14,24,3.28,1.96,7.34,1,1.22,0.42,0.0,0,0,0,28.5,69.4,9,0,1,0,23.09,10.8,0,0,0,0,0,1,0,0,0,0,0,15.489999999999998,6.030100000000001,14.094631483166513,6.49,3.5999999999999996,5,0.0,0,0,0,1,0,1,0,0
H00060,474,2,4,1,2,1,0,1.28,10.31,24,4.67,4.82,9.15,0,1.79,0.35,0.31,1,0,0,25.5,59.2,3,0,0,1,23.2,15.56,0,0,1,0,0,0,0,0,0,1,0,23.529999999999998,5.83195,49.64135021097046,3.37,4.0,9,1.59,0,0,0,1,0,1,0,0
H00061,1148,3,3,1,2,0,0,3.45,7.32,24,3.7,4.72,6.05,1,1.1,0.17,0.07,0,0,0,29.1,45.7,7,0,0,0,23.77,11.85,0,0,0,0,0,0,0,0,1,0,0,20.53,7.546200000000001,17.883275261324044,5.4,3.0,7,0.0,0,0,0,1,0,1,0,0
H00062,1065,3,5,3,2,0,0,1.59,6.8,24,3.97,3.34,6.71,1,0.37,0.57,0.33,0,0,0,27.6,64.3,10,0,0,0,21.94,8.79,1,0,0,0,0,0,0,0,1,0,0,16.97,5.113900000000001,15.934272300469482,5.3500000000000005,5.0,7,0.0,0,0,0,1,0,0,0,0
H00063,1616,5,3,2,0,1,0,6.87,11.06,24,3.94,3.76,8.31,1,1.81,0.39,0.21,0,0,0,40.5,42.4,4,1,0,0,19.12,18.58,1,0,0,1,0,0,1,0,0,0,0,28.040000000000003,13.9996,17.351485148514854,13.709999999999999,3.5999999999999996,7,0.0,1,0,0,0,0,1,0,0
H00064,676,1,4,3,0,1,0,0.0,5.18,24,6.31,4.22,7.43,1,1.27,0.31,0.36,0,0,0,23.9,21.6,3,1,0,1,21.18,6.11,0,0,1,0,0,0,1,0,0,0,0,17.649999999999995,3.3171999999999997,26.109467455621296,4.169999999999999,4.8,4,0.36,0,0,1,0,0,1,0,0
H00065,709,2,2,1,1,0,0,1.33,7.47,24,3.02,3.34,7.49,1,1.15,0.21,0.65,1,0,0,18.2,18.6,8,0,0,0,19.24,14.77,0,0,0,0,0,0,0,0,0,0,1,17.169999999999998,5.47215,24.217207334273624,5.800000000000001,2.0,10,0.0,0,0,1,0,1,0,0,0
H00066,2565,7,2,1,1,0,0,1.02,4.23,24,6.77,3.55,9.98,0,1.67,0.26,0.76,0,0,0,25.1,55.5,9,1,0,0,26.9,13.01,0,1,0,0,0,0,0,1,0,0,0,18.260000000000005,5.82175,7.118908382066279,2.7200000000000006,2.4,6,0.0,0,0,0,1,1,0,0,0
H00067,1256,3,5,2,2,1,1,0.37,6.95,24,6.69,8.47,11.26,1,1.07,0.2,0.0,0,0,0,23.9,47.5,8,0,0,0,17.45,8.02,1,0,0,0,0,0,0,0,0,0,0,23.750000000000004,3.2959500000000004,18.90923566878981,1.579999999999999,6.5,5,0.0,0,0,1,0,0,0,1,0
H00068,725,2,3,1,2,0,0,3.32,6.52,24,3.4,4.21,6.62,1,0.94,0.16,0.47,0,0,0,26.9,64.8,8,0,0,0,22.57,11.39,0,0,0,0,0,0,0,0,0,1,0,19.02,7.8986,26.23448275862069,4.909999999999998,3.0,7,0.0,0,0,0,1,0,1,0,0
H00069,2565,7,3,2,1,0,0,0.34,4.39,24,4.44,3.89,7.9,1,0.7,0.47,1.53,0,0,0,18.3,81.9,11,0,0,1,21.65,12.3,0,1,0,0,1,0,0,0,0,0,0,15.76,5.66565,6.144249512670565,5.78,3.0,7,1.87,0,0,1,0,0,1,0,0
H00070,1330,3,5,3,2,0,0,1.09,7.65,24,5.55,4.72,10.18,1,1.01,0.21,0.22,0,0,0,25.3,60.7,7,1,0,1,21.4,9.24,1,0,0,0,0,0,1,0,0,0,0,20.45,4.49645,15.37593984962406,3.380000000000001,6.0,7,1.31,0,0,0,1,0,0,0,0
H00071,956,3,4,2,1,1,0,0.0,6.08,24,4.59,3.07,9.29,1,1.57,0.39,0.0,0,0,1,22.6,52.2,3,0,1,0,25.26,7.21,0,0,1,0,0,0,0,0,0,0,1,15.700000000000001,2.7447,16.422594142259413,0.6400000000000012,4.8,2,0.0,0,0,1,0,0,1,0,0
H00072,1268,3,3,1,2,0,1,2.0,6.31,24,4.29,4.42,8.72,1,0.86,0.12,0.61,0,0,0,20.4,35.9,9,0,0,1,20.46,10.33,0,0,0,0,0,0,0,0,1,0,0,18.609999999999996,6.17645,14.676656151419555,2.530000000000001,3.9000000000000004,7,2.61,0,0,1,0,0,0,0,1
H00073,796,2,4,1,2,1,0,3.09,7.47,24,2.16,3.35,6.9,1,1.41,0.32,0.89,0,0,0,26.6,79.6,8,0,0,0,23.83,12.06,0,0,0,0,0,0,0,0,0,0,0,18.69,8.83375,23.479899497487438,6.18,4.0,7,0.0,0,0,0,1,0,1,0,0
H00074,458,1,1,1,0,0,0,3.12,8.36,24,2.63,0.31,3.82,0,1.04,0.21,0.64,0,0,1,28.9,90.5,3,0,0,1,20.69,10.03,0,0,1,0,0,0,0,0,0,0,0,16.310000000000002,7.9006,35.61135371179039,8.879999999999999,1.0,6,3.7600000000000002,0,0,0,1,1,0,0,0
H00075,1052,3,1,1,0,0,0,0.8,7.64,24,1.55,3.88,7.63,0,1.77,0.63,0.92,0,0,0,10.6,67.2,1,0,0,1,24.57,9.69,0,0,0,0,1,0,0,0,0,0,0,17.19,6.0843,16.340304182509506,9.7,1.0,6,1.7200000000000002,0,0,0,0,1,0,0,0
H00076,1158,3,4,1,2,1,1,0.0,4.71,24,8.65,6.71,5.22,1,1.57,0.45,1.17,0,0,0,14.2,43.8,11,0,0,1,19.17,8.76,1,0,0,0,1,0,0,0,0,0,0,23.259999999999998,5.67835,20.08635578583765,6.08,5.2,4,1.17,0,0,0,0,0,0,1,0
H00077,1006,3,4,2,2,0,1,0.0,5.69,24,8.0,3.92,8.66,0,1.84,0.23,0.65,0,0,1,11.9,61.7,1,1,0,0,22.63,7.75,0,0,0,0,1,0,0,1,0,0,0,20.33,4.41795,20.208747514910534,8.24,6.0,3,0.0,0,0,0,0,0,0,1,0
H00078,928,2,4,2,2,0,1,0.0,5.93,24,4.94,9.05,7.45,1,0.06,0.3,1.06,0,0,0,11.5,48.3,11,0,0,0,29.9,6.88,0,0,0,0,1,0,0,0,0,1,0,21.34,4.00675,22.995689655172413,7.52,5.2,4,0.0,0,0,0,0,0,0,1,0
H00079,813,3,1,1,0,0,0,0.0,5.66,24,1.67,2.69,9.5,0,1.75,0.59,0.51,0,0,0,16.5,69.4,12,0,0,0,23.49,7.46,0,0,0,0,1,0,0,0,0,0,1,12.87,3.7933999999999997,15.830258302583024,5.79,1.0,3,0.0,0,0,1,0,1,0,0,0
H00080,994,2,2,1,1,0,1,0.0,7.18,24,8.39,4.61,4.0,1,2.17,0.27,0.57,0,1,0,26.7,49.8,3,0,0,0,28.33,5.57,0,0,1,0,0,0,0,0,0,0,1,23.19,4.7456,23.329979879275655,3.3099999999999996,2.6,4,0.0,0,0,0,1,0,0,0,1
